filename,journal_id,journal_name,applicable_checks,passed,failed,partial,cannot_determine,critical_errors,completeness_score,correctness_score,expected_readiness,service_score,service_readiness,mismatches,false_positives,false_negatives,review_required
0023-4206.data,215,Космические исследования,62,46,6,6,4,0,82.9,89.1,mostly_ready,81.5,mostly_ready,4,1,2,True
0023-4761.data,216,Кристаллография,62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
0024-1148.data,219,Лесоведение,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0024-497X.data,220,Литология и полезные ископаемые,62,47,7,4,4,0,84.0,87.3,mostly_ready,83.3,mostly_ready,4,1,2,True
0026-3648.data,223,Микология и фитопатология,62,51,6,1,4,1,87.1,89.1,needs_revision,88.9,mostly_ready,2,1,1,True
0026-3656.data,224,Микробиология,62,49,7,2,4,1,84.0,87.3,needs_revision,85.2,mostly_ready,2,1,1,True
0026-8984.data,226,Молекулярная биология,62,51,6,2,3,0,86.9,89.1,mostly_ready,87.0,mostly_ready,2,1,1,True
0028-2421.data,229,Нефтехимия,62,49,7,2,4,1,84.6,87.3,needs_revision,85.2,mostly_ready,4,1,1,True
0030-1574.data,233,Океанология,62,47,3,8,4,0,87.4,94.5,mostly_ready,81.5,mostly_ready,1,0,0,False
0031-031X.data,235,Палеонтологический журнал,62,46,6,6,4,0,82.9,89.1,mostly_ready,79.6,needs_revision,3,1,1,True
0031-1847.data,236,Паразитология,62,46,6,6,4,0,82.9,89.1,mostly_ready,79.6,needs_revision,3,1,1,True
0032-180X.data,241,Почвоведение,62,50,5,3,4,0,87.7,90.9,mostly_ready,88.9,mostly_ready,3,1,2,True
0032-8162.data,242,Приборы и техника эксперимента,62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
0032-8235.data,244,Прикладная математика и механика,62,45,6,7,4,0,82.6,89.1,mostly_ready,79.6,needs_revision,4,1,2,True
0033-8311.data,252,Радиохимия,62,46,6,7,3,0,82.0,89.1,mostly_ready,77.8,needs_revision,3,1,1,True
0033-8494.data,251,Радиотехника и электроника,62,47,6,5,4,0,83.7,89.1,mostly_ready,81.5,mostly_ready,2,1,1,True
0033-9946.data,254,Растительные ресурсы,62,47,6,5,4,0,83.7,89.1,mostly_ready,81.5,mostly_ready,2,1,1,True
0040-3571.data,267,Теоретические основы химической технологии,62,48,5,6,3,0,85.1,90.9,mostly_ready,81.5,mostly_ready,6,2,2,True
0040-3644.data,268,Теплофизика высоких температур,62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
0041-3771.data,281,Цитология,62,46,6,6,4,0,83.4,89.1,mostly_ready,81.5,mostly_ready,5,1,2,True
0042-1324.data,269,Успехи современной биологии,62,51,5,3,3,0,87.7,90.9,mostly_ready,87.0,mostly_ready,3,1,1,True
0042-8752.data,167,Вопросы ихтиологии,62,48,5,6,3,1,84.0,90.9,needs_revision,81.5,mostly_ready,3,1,1,True
0044-0027.data,288,Ядерная физика,62,50,6,2,4,0,86.9,89.1,mostly_ready,87.0,mostly_ready,2,1,1,True
0044-1856.data,275,Физикохимия поверхности и защита материалов,62,47,8,3,4,1,82.0,85.5,needs_revision,83.3,mostly_ready,3,1,2,True
0044-4502.data,188,Журнал аналитической химии,62,48,4,6,4,0,86.3,92.7,mostly_ready,81.5,mostly_ready,3,2,1,True
0044-4510.data,198,Журнал экспериментальной и теоретической физики,62,53,3,2,4,0,93.0,94.4,mostly_ready,96.3,ready,2,0,2,True
0044-4529.data,197,Журнал эволюционной биохимии и физиологии,62,47,7,4,4,0,83.4,87.3,mostly_ready,83.3,mostly_ready,3,1,2,True
0044-4537.data,196,Журнал физической химии,62,49,5,4,4,0,86.9,90.9,mostly_ready,87.0,mostly_ready,3,1,2,True
0044-457X.data,191,Журнал неорганической химии,62,50,5,4,3,0,86.9,90.9,mostly_ready,83.3,mostly_ready,3,2,1,True
0044-4596.data,192,Журнал общей биологии,62,48,6,4,4,0,85.7,89.1,mostly_ready,85.2,mostly_ready,5,1,2,True
0044-460X.data,193,Журнал общей химии,62,45,7,7,3,1,79.7,87.3,needs_revision,75.9,needs_revision,4,1,1,True
0044-4618.data,195,Журнал прикладной химии,62,48,6,4,4,0,85.1,89.1,mostly_ready,85.2,mostly_ready,3,1,2,True
0044-4669.data,190,Журнал вычислительной математики и математической физики,62,44,11,3,4,3,74.6,80.0,not_ready,75.9,needs_revision,2,1,1,True
0044-4677.data,189,Журнал высшей нервной деятельности им. И.П. Павлова,62,48,6,4,4,0,85.1,89.1,mostly_ready,85.2,mostly_ready,3,1,2,True
0044-5134.data,200,Зоологический журнал,62,45,8,5,4,1,79.7,85.5,needs_revision,79.6,needs_revision,4,1,2,True
0044-748X.data,217,Латинская Америка,62,49,7,1,5,0,86.3,87.0,mostly_ready,85.2,mostly_ready,4,2,2,True
0130-3082.data,181,Дефектоскопия,62,47,7,4,4,0,83.4,87.3,mostly_ready,81.5,mostly_ready,4,2,2,True
0130-3864.data,230,Новая и новейшая история,62,51,7,1,3,1,85.4,87.3,needs_revision,85.2,mostly_ready,1,1,0,True
0131-1646.data,277,Физиология человека,62,48,6,4,4,0,85.7,89.1,mostly_ready,83.3,mostly_ready,3,1,1,True
0131-2812.data,245,Проблемы Дальнего Востока,62,47,8,3,4,1,81.1,85.2,needs_revision,79.6,needs_revision,4,2,2,True
0131-6095.data,259,Русская литература,62,49,7,1,5,1,85.8,87.0,needs_revision,83.3,mostly_ready,4,2,1,True
0131-6117.data,260,Русская речь,62,49,6,2,5,1,86.6,88.9,needs_revision,81.5,mostly_ready,4,2,1,True
0132-1625.data,264,Социологические исследования,62,51,6,1,4,0,88.1,88.9,mostly_ready,87.0,mostly_ready,4,2,2,True
0132-3423.data,158,Биоорганическая химия,62,49,6,4,3,0,85.1,89.1,mostly_ready,81.5,mostly_ready,3,2,1,True
0132-344X.data,214,Координационная химия,62,45,7,7,3,0,80.3,87.3,mostly_ready,77.8,needs_revision,4,1,2,True
0132-3474.data,248,Программирование,62,49,5,5,3,0,86.0,90.9,mostly_ready,83.3,mostly_ready,2,1,1,True
0132-6651.data,272,Физика и химия стекла,62,47,7,4,4,0,83.4,87.3,mostly_ready,81.5,mostly_ready,2,1,1,True
0134-3475.data,157,Биология моря,62,52,4,3,3,0,88.9,92.7,mostly_ready,87.0,mostly_ready,1,1,0,True
0201-7083.data,263,Современная Европа,62,48,7,3,4,0,84.9,87.3,mostly_ready,85.2,mostly_ready,3,1,2,True
0203-0306.data,169,Вулканология и сейсмология,62,47,6,5,4,0,84.3,89.1,mostly_ready,83.3,mostly_ready,4,1,2,True
0205-9592.data,249,Психологический журнал,62,47,7,3,5,1,82.8,87.0,needs_revision,79.6,needs_revision,4,2,1,True
0205-9606.data,166,Вопросы истории естествознания и техники,62,48,6,3,5,1,84.6,88.9,needs_revision,77.8,needs_revision,3,2,0,True
0205-9614.data,211,Исследование Земли из космоса,62,47,7,5,3,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
0207-3676.data,232,Общество и экономика,62,50,5,2,5,0,89.0,90.7,mostly_ready,85.2,mostly_ready,5,2,1,True
0207-401X.data,278,Химическая физика,62,47,6,5,4,0,84.3,89.1,mostly_ready,83.3,mostly_ready,4,1,2,True
0233-4755.data,155,Биологические мембраны,62,46,9,3,4,3,78.0,83.6,not_ready,77.8,needs_revision,3,2,1,True
0235-0092.data,261,Сенсорные системы,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0235-0106.data,253,Расплавы,62,51,3,5,3,0,90.0,94.5,mostly_ready,87.0,mostly_ready,4,1,1,True
0235-7119.data,246,Проблемы машиностроения и надежности машин,62,46,6,6,4,0,82.9,89.1,mostly_ready,81.5,mostly_ready,3,1,2,True
0236-2007.data,282,Человек,62,47,7,3,5,0,83.4,87.0,mostly_ready,81.5,mostly_ready,4,2,2,True
0301-1798.data,270,Успехи физиологических наук,62,46,7,5,4,0,82.6,87.3,mostly_ready,81.5,mostly_ready,4,1,2,True
0320-0108.data,238,Письма в Астрономический журнал: Астрономия и космическая астрофизика,62,48,5,5,4,0,85.4,90.9,mostly_ready,85.2,mostly_ready,4,1,2,True
0320-7919.data,152,Акустический журнал,62,48,7,3,4,1,83.1,87.3,needs_revision,83.3,mostly_ready,3,1,1,True
0320-930X.data,153,Астрономический вестник. Исследования Солнечной системы,62,49,7,2,4,1,84.0,87.3,needs_revision,85.2,mostly_ready,2,1,1,True
0320-9652.data,156,Биология внутренних вод,62,47,7,4,4,1,82.3,87.3,needs_revision,79.6,needs_revision,3,2,1,True
0320-9725.data,160,Биохимия,62,46,9,3,4,3,78.0,83.6,not_ready,79.6,needs_revision,2,1,1,True
0321-0391.data,162,Вестник древней истории,62,51,8,0,3,1,85.1,85.5,needs_revision,85.2,mostly_ready,2,1,1,True
0321-0596.data,165,Водные ресурсы,62,48,6,4,4,1,84.0,89.1,needs_revision,83.3,mostly_ready,2,1,1,True
0321-5075.data,151,Азия и Африка сегодня,62,48,7,2,5,0,85.5,87.0,mostly_ready,85.2,mostly_ready,2,0,2,True
0367-0597.data,283,Экология,62,46,7,5,4,0,82.6,87.3,mostly_ready,81.5,mostly_ready,4,1,2,True
0367-1445.data,286,Энтомологическое обозрение,62,48,7,3,4,0,84.3,87.3,mostly_ready,85.2,mostly_ready,4,1,2,True
0367-2921.data,274,Физика плазмы,62,50,6,3,3,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0367-6765.data,206,Известия Российской академии наук. Серия физическая,62,46,8,4,4,1,80.6,85.5,needs_revision,81.5,mostly_ready,3,1,2,True
0370-274X.data,239,Письма в Журнал экспериментальной и теоретической физики,62,50,5,3,4,0,88.3,90.9,mostly_ready,87.0,mostly_ready,4,2,2,True
0373-658X.data,168,Вопросы языкознания,62,47,7,3,5,1,82.8,87.0,needs_revision,79.6,needs_revision,4,2,1,True
0374-0641.data,182,Дифференциальные уравнения,62,50,7,1,4,0,86.6,87.3,mostly_ready,88.9,mostly_ready,3,1,2,True
0424-7388.data,284,Экономика и математические методы,62,51,6,0,5,1,88.4,88.9,needs_revision,87.0,mostly_ready,3,2,1,True
0424-8570.data,285,Электрохимия,62,46,7,5,4,0,82.6,87.3,mostly_ready,81.5,mostly_ready,4,1,2,True
0453-8811.data,212,Кинетика и катализ,62,46,7,6,3,0,81.1,87.3,mostly_ready,79.6,needs_revision,4,1,2,True
0475-1450.data,234,Онтогенез,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0514-7492.data,194,Журнал органической химии,62,47,6,5,4,0,84.3,89.1,mostly_ready,83.3,mostly_ready,4,1,2,True
0544-1269.data,225,Микроэлектроника,62,50,8,1,3,2,82.6,85.5,not_ready,85.2,mostly_ready,2,1,1,True
0555-1099.data,243,Прикладная биохимия и микробиология,62,45,8,5,4,1,79.7,85.5,needs_revision,79.6,needs_revision,4,1,2,True
0555-2923.data,247,Проблемы передачи информации,62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
0869-0499.data,231,Общественные науки и современность,62,49,7,2,4,1,85.1,87.3,needs_revision,85.2,mostly_ready,2,1,1,True
0869-5415.data,287,Этнографическое обозрение,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0869-544X.data,262,Славяноведение,62,48,7,2,5,1,84.3,87.0,needs_revision,83.3,mostly_ready,5,2,2,True
0869-5733.data,222,Металлы,62,44,7,7,4,0,80.3,87.3,mostly_ready,77.8,needs_revision,4,1,2,True
0869-5873.data,163,Вестник Российской академии наук,62,49,5,5,3,1,84.3,90.9,needs_revision,83.3,mostly_ready,2,1,1,True
0869-5903.data,237,Петрология,62,48,5,5,4,0,86.0,90.9,mostly_ready,79.6,needs_revision,3,2,0,True
0869-592X.data,265,Стратиграфия. Геологическая корреляция,62,49,7,3,3,0,84.3,87.3,mostly_ready,85.2,mostly_ready,4,1,2,True
0869-6055.data,199,Записки Российского минералогического общества,62,45,7,6,4,0,81.1,87.3,mostly_ready,79.6,needs_revision,4,1,2,True
0869-6063.data,255,Российская археология,62,48,6,4,4,0,85.7,89.1,mostly_ready,83.3,mostly_ready,3,1,1,True
0869-6071.data,210,Известия Русского географического общества,62,48,7,4,3,0,84.0,87.3,mostly_ready,83.3,mostly_ready,4,1,2,True
0869-7698.data,683,Вестник Дальневосточного отделения Российской академии наук,62,44,7,6,5,2,79.7,87.0,not_ready,77.8,needs_revision,4,1,3,True
0869-7809.data,179,Геоэкология. Инженерная геология. Гидрогеология. Геокриология,62,48,7,3,4,0,84.3,87.3,mostly_ready,85.2,mostly_ready,4,1,2,True
0869-8031.data,250,Радиационная биология. Радиоэкология,62,49,6,3,4,0,86.6,89.1,mostly_ready,85.2,mostly_ready,2,1,1,True
0869-8139.data,258,Российский физиологический журнал им. И.М. Сеченова,62,47,7,4,4,0,84.0,87.3,mostly_ready,83.3,mostly_ready,4,1,2,True
1024-7084.data,201,Известия Российской академии наук. Механика жидкости и газа,62,49,6,3,4,0,86.6,89.1,mostly_ready,87.0,mostly_ready,4,1,2,True
1026-3470.data,203,Известия Российской академии наук. Серия биологическая,62,46,8,4,4,1,80.6,85.5,needs_revision,81.5,mostly_ready,3,1,2,True
1026-3519.data,202,Известия Российской академии наук. Механика твердого тела,62,45,8,5,4,1,80.3,85.5,needs_revision,79.6,needs_revision,4,1,2,True
1026-9452.data,180,Государство и право,62,47,8,2,5,1,82.6,85.2,needs_revision,81.5,mostly_ready,4,1,2,True
1027-8133.data,227,Нейрохимия,62,49,7,3,3,1,83.1,87.3,needs_revision,85.2,mostly_ready,3,1,2,True
1028-0960.data,240,"Поверхность. Рентгеновские, синхротронные и нейтронные исследования",62,45,6,7,4,0,82.0,89.1,mostly_ready,79.6,needs_revision,4,1,2,True
1605-7880.data,205,Известия Российской академии наук. Серия литературы и языка,62,47,7,3,5,0,84.0,87.0,mostly_ready,81.5,mostly_ready,6,2,2,True
2076-6734.data,218,Лёд и Снег,62,48,7,3,4,0,84.9,87.3,mostly_ready,85.2,mostly_ready,3,1,2,True
2218-1172.data,221,Мембраны и мембранные технологии,62,44,6,8,4,0,81.1,89.1,mostly_ready,77.8,needs_revision,5,1,2,True
2308-1120.data,170,Высокомолекулярные соединения. Серия А,62,48,5,4,5,0,86.6,90.7,mostly_ready,87.0,mostly_ready,3,1,2,True
2308-1139.data,171,Высокомолекулярные соединения. Серия Б,62,47,7,4,4,0,83.4,87.3,mostly_ready,83.3,mostly_ready,3,1,2,True
2308-1147.data,172,Высокомолекулярные соединения. Серия С,62,44,10,4,4,3,75.4,81.8,not_ready,77.8,needs_revision,4,1,2,True
2500-2082.data,164,Вестник российской сельскохозяйственной науки,62,48,8,3,3,1,82.0,85.5,needs_revision,83.3,mostly_ready,3,1,2,True
2500-2627.data,257,Российская сельскохозяйственная наука,62,49,5,4,4,0,87.4,90.9,mostly_ready,85.2,mostly_ready,3,1,1,True
2587-5566.data,204,Известия Российской академии наук. Серия географическая,62,49,6,3,4,0,86.6,89.1,mostly_ready,87.0,mostly_ready,3,1,2,True
2686-6730.data,266,"США & Канада: экономика, политика, культура",62,50,7,1,4,0,86.6,87.3,mostly_ready,88.9,mostly_ready,3,1,2,True
2686-7389.data,184,Доклады Российской академии наук. Науки о жизни,62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,4,1,2,True
2686-7397.data,185,Доклады Российской академии наук. Науки о Земле,62,46,6,6,4,0,82.9,89.1,mostly_ready,81.5,mostly_ready,4,1,2,True
2686-7400.data,186,"Доклады Российской академии наук. Физика, технические науки",62,47,7,4,4,0,83.4,87.3,mostly_ready,83.3,mostly_ready,3,1,2,True
2686-9535.data,187,"Доклады Российской академии наук. Химия, науки о материалах",62,46,7,5,4,0,82.0,87.3,mostly_ready,81.5,mostly_ready,3,1,2,True
2686-9543.data,183,"Доклады Российской академии наук. Математика, информатика, процессы управления",62,48,6,5,3,0,83.7,89.1,mostly_ready,81.5,mostly_ready,2,1,1,True
2949-124X.data,256,Российская история,62,49,5,4,4,0,87.4,90.9,mostly_ready,85.2,mostly_ready,3,1,1,True
2949-1789.data,176,Геоморфология и палеогеография,62,53,4,2,3,0,90.3,92.7,mostly_ready,90.7,ready,2,1,1,True
