filename,journal_name,rule_id,checklist_id,compare,independent_status,service_status,severity,json_path,evidence,explanation
0015-3230.data,Физика металлов и металловедение,STEP1_EMAIL,step1.email,false_positive,pass,partial,error,settings.envelopeSender|contactEmail,fmm@imp.uran.ru,Исходящая почта журнала
0015-3230.data,Физика металлов и металловедение,STEP3_CHECKLIST,step3.checklist,severity_mismatch,partial,fail,error,settings.submissionChecklist,ru=1; en=0,Чек-лист отсутствует/неполный
0015-3303.data,Физиология растений,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],"['hideAbout', 'editorRestriction']","Проблемы: hideAbout, editorRestriction"
0015-3303.data,Физиология растений,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0015-3303.data,Физиология растений,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0015-3303.data,Физиология растений,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0016-6758.data,Генетика,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0016-6758.data,Генетика,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0016-6758.data,Генетика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0016-7525.data,Геохимия,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0016-7525.data,Геохимия,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0016-7525.data,Геохимия,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0016-7770.data,Геология рудных месторождений,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0016-7770.data,Геология рудных месторождений,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0016-7770.data,Геология рудных месторождений,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0016-7770.data,Геология рудных месторождений,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0016-7940.data,Геомагнетизм и аэрономия,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0016-7940.data,Геомагнетизм и аэрономия,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0016-7940.data,Геомагнетизм и аэрономия,STEP1_MAILING,step1.mailing,false_negative,partial,pass,error,settings.mailingAddress,ru_len=62; en_len=0,Адрес неполный/пуст
0016-7940.data,Геомагнетизм и аэрономия,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0016-853X.data,Геотектоника,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0016-853X.data,Геотектоника,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0016-853X.data,Геотектоника,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0016-853X.data,Геотектоника,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0023-1177.data,Химия твердого топлива,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0023-1177.data,Химия твердого топлива,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0023-1177.data,Химия твердого топлива,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0023-1177.data,Химия твердого топлива,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0023-1193.data,Химия высоких энергий,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0023-1193.data,Химия высоких энергий,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0023-2912.data,Коллоидный журнал,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0023-2912.data,Коллоидный журнал,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0023-2912.data,Коллоидный журнал,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0023-2912.data,Коллоидный журнал,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0023-4206.data,Космические исследования,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0023-4206.data,Космические исследования,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0023-4206.data,Космические исследования,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0023-4206.data,Космические исследования,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0023-4761.data,Кристаллография,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0023-4761.data,Кристаллография,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0023-4761.data,Кристаллография,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0024-1148.data,Лесоведение,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0024-1148.data,Лесоведение,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0024-497X.data,Литология и полезные ископаемые,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0024-497X.data,Литология и полезные ископаемые,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0024-497X.data,Литология и полезные ископаемые,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0024-497X.data,Литология и полезные ископаемые,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0026-3648.data,Микология и фитопатология,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0026-3648.data,Микология и фитопатология,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0026-3656.data,Микробиология,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0026-3656.data,Микробиология,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0026-8984.data,Молекулярная биология,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0026-8984.data,Молекулярная биология,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0028-2421.data,Нефтехимия,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0028-2421.data,Нефтехимия,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0028-2421.data,Нефтехимия,STEP3_COPYRIGHT,step3.copyright,severity_mismatch,partial,fail,critical,settings.copyrightNotice|copyrightHolderType|licenseURL,"deficits=['notice_en', 'license']","Не хватает: notice_en, license"
0028-2421.data,Нефтехимия,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0030-1574.data,Океанология,STEP3_CHECKLIST,step3.checklist,severity_mismatch,partial,fail,error,settings.submissionChecklist,ru=1; en=0,Чек-лист отсутствует/неполный
0031-031X.data,Палеонтологический журнал,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0031-031X.data,Палеонтологический журнал,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0031-031X.data,Палеонтологический журнал,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0031-1847.data,Паразитология,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0031-1847.data,Паразитология,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0031-1847.data,Паразитология,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0032-180X.data,Почвоведение,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0032-180X.data,Почвоведение,STEP1_MAILING,step1.mailing,false_negative,partial,pass,error,settings.mailingAddress,ru_len=151; en_len=0,Адрес неполный/пуст
0032-180X.data,Почвоведение,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0032-8162.data,Приборы и техника эксперимента,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0032-8162.data,Приборы и техника эксперимента,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0032-8162.data,Приборы и техника эксперимента,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0032-8235.data,Прикладная математика и механика,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0032-8235.data,Прикладная математика и механика,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0032-8235.data,Прикладная математика и механика,STEP1_MAILING,step1.mailing,false_negative,partial,pass,error,settings.mailingAddress,ru_len=25; en_len=0,Адрес неполный/пуст
0032-8235.data,Прикладная математика и механика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0033-8311.data,Радиохимия,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0033-8311.data,Радиохимия,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0033-8311.data,Радиохимия,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0033-8494.data,Радиотехника и электроника,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0033-8494.data,Радиотехника и электроника,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0033-9946.data,Растительные ресурсы,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0033-9946.data,Растительные ресурсы,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0040-3571.data,Теоретические основы химической технологии,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0040-3571.data,Теоретические основы химической технологии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0040-3571.data,Теоретические основы химической технологии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0040-3571.data,Теоретические основы химической технологии,STEP1_EMAIL,step1.email,false_positive,pass,partial,error,settings.envelopeSender|contactEmail,j.toht@mail.ru,Исходящая почта журнала
0040-3571.data,Теоретические основы химической технологии,STEP3_CHECKLIST,step3.checklist,severity_mismatch,partial,fail,error,settings.submissionChecklist,ru=1; en=0,Чек-лист отсутствует/неполный
0040-3571.data,Теоретические основы химической технологии,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0040-3644.data,Теплофизика высоких температур,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0040-3644.data,Теплофизика высоких температур,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0040-3644.data,Теплофизика высоких температур,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0041-3771.data,Цитология,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0041-3771.data,Цитология,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0041-3771.data,Цитология,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0041-3771.data,Цитология,STEP3_CHECKLIST,step3.checklist,severity_mismatch,partial,fail,error,settings.submissionChecklist,ru=1; en=0,Чек-лист отсутствует/неполный
0041-3771.data,Цитология,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0042-1324.data,Успехи современной биологии,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0042-1324.data,Успехи современной биологии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0042-1324.data,Успехи современной биологии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0042-8752.data,Вопросы ихтиологии,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0042-8752.data,Вопросы ихтиологии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0042-8752.data,Вопросы ихтиологии,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-0027.data,Ядерная физика,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-0027.data,Ядерная физика,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-1856.data,Физикохимия поверхности и защита материалов,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-1856.data,Физикохимия поверхности и защита материалов,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-1856.data,Физикохимия поверхности и защита материалов,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-4502.data,Журнал аналитической химии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-4502.data,Журнал аналитической химии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-4502.data,Журнал аналитической химии,STEP1_EMAIL,step1.email,false_positive,pass,partial,error,settings.envelopeSender|contactEmail,zhakh@geokhi.ru,Исходящая почта журнала
0044-4510.data,Журнал экспериментальной и теоретической физики,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-4510.data,Журнал экспериментальной и теоретической физики,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-4529.data,Журнал эволюционной биохимии и физиологии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-4529.data,Журнал эволюционной биохимии и физиологии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-4529.data,Журнал эволюционной биохимии и физиологии,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-4537.data,Журнал физической химии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-4537.data,Журнал физической химии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-4537.data,Журнал физической химии,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
0044-457X.data,Журнал неорганической химии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-457X.data,Журнал неорганической химии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-457X.data,Журнал неорганической химии,STEP1_EMAIL,step1.email,false_positive,pass,partial,error,settings.envelopeSender|contactEmail,rusjinorgchem@yandex.ru,Исходящая почта журнала
0044-4596.data,Журнал общей биологии,PAGES_SECTION_ARTICLES,pages.section_articles,severity_mismatch,partial,fail,error,sections[Articles],['editorRestriction'],Проблемы: editorRestriction
0044-4596.data,Журнал общей биологии,MODULES_EXTRA_OFF,modules.extra_off,false_positive,pass,partial,warning,plugins.*,none,Лишних generic-модулей сверх эвристики не найдено
0044-4596.data,Журнал общей биологии,STEP1_MAILING,step1.mailing,false_negative,fail,pass,error,settings.mailingAddress,ru_len=0; en_len=0,Адрес неполный/пуст
0044-4596.data,Журнал общей биологии,STEP3_COPYRIGHT,step3.copyright,severity_mismatch,partial,fail,critical,settings.copyrightNotice|copyrightHolderType|licenseURL,"deficits=['notice_en', 'license']","Не хватает: notice_en, license"
0044-4596.data,Журнал общей биологии,STEP3_SUBMISSION_ACK,step3.submission_ack,false_negative,fail,pass,error,settings.copySubmissionAckPrimaryContact,False,Флаг не в ожидаемом состоянии
